"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG","Manu Ginobili",4500,"LAL@SA 09:30PM ET",22.569,"SA"
"PF","Luis Scola",4500,"Mil@Tor 07:30PM ET",20.033,"Tor"
"C","Festus Ezeli",4500,"GS@Bos 07:30PM ET",21.228,"GS"
"PG","Jrue Holiday",4500,"Was@NO 08:00PM ET",22.031,"NO"
"C","Joffrey Lauvergne",4500,"Min@Den 09:00PM ET",18.938,"Den"
"C","Andrew Bogut",4400,"GS@Bos 07:30PM ET",21.875,"GS"
"C","Roy Hibbert",4400,"LAL@SA 09:30PM ET",22.614,"LAL"
"C","Meyers Leonard",4400,"Por@Pho 09:30PM ET",18.391,"Por"
"PG","Cory Joseph",4400,"Mil@Tor 07:30PM ET",19.207,"Tor"
"C","Tyson Chandler",4300,"Por@Pho 09:30PM ET",19.133,"Pho"
